,Title,Label
0,Chief Financial Officer,Finance Specialist
2,Country Coordinator,PR Specialist
3,BCC Specialist,Raw
13,"Community Development, Capacity Building and Conflict",Software Developer
17,Country Economist (NOB),Analyst
18,Driver/ Logistics Assistant,Assistant
19,Graphic Designer,Graphic Designer
20,Administrative Assistant,Raw
22,Marketing Advisor,Marketing Specialist
23,Chief/ Supervisor of Programs Department,Director
25,Deputy Program Director,Raw
32,Training Officer,Raw
36,Tester,Raw
37,Receptionist,Receptionist
44,Quality Assurance/ Health Systems Management Advisor,Director
50,Programs Manager,Project Manager/ Assistant
51,Proposal Writer,Journalist
56,Manufacturing Chief,Raw
57,Driver,Driver
58,General Manager,Office Manager
60,"Online Business Associates (part time, work from home)",Raw
63,Regional Director,Analyst
64,Administrative Assistant/ Secretary,Assistant
65,Program Expert,Raw
66,Project Coordinator,Project Manager/ Assistant
67,Salesman / Trade agent,Sales Agent
69,Admin/ Finance Clerk - 2004/ 001,Receptionist
71,Training and Institutional Capacity Building Specialist,Raw
74,Accountant,Raw
76,Graphic Designer,Graphic Designer
77,Administrative Assistant,Raw
78,Supply Officer,Raw
80,Assistant to Director/ Translator,Director
81,Managing Director,Director
82,Project Assistant,Project Manager/ Assistant
83,MMT Project Manager,Raw
84,Health Coordinators (two positions are open),Raw
85,Communication Assistant,Raw
86,Consultant,Raw
91,Project Assistant,Project Manager/ Assistant
92,Software Developer,Software Developer
93,Translator/ Interpreter  (AVET3),Translator
94,Office Secretary (AVET2),Raw
95,Project Manager,Project Manager/ Assistant
96,Office Manager (AVET1),Office Manager
99,Administrative Assistant,Assistant
101,Technical Project Manager,Project Manager/ Assistant
102,AutoCAD Operator,Translator
103,Chemist - Organic/ Polymer,Translator
104,Language and Administrative Assistant,Assistant
109,Project Officer,Project Manager/ Assistant
112,Executive Director,Raw
113,Corporate Director,Director
116,"Assistant to Director, Translator/ Interpreter",Director
121,"Community Development, Capacity Building and Conflict",Software Developer
122,Web Designer,Web Developer/ Designer
126,Financial Manager,Manager
128,Finance Assistant/ Accountant,Finance Specialist
129,Engineer/ Supervisor for the Global Fund Project,Project Manager/ Assistant
131,Project Deputy Director,Project Manager/ Assistant
132,Sales & Marketing Specialist,Marketing Specialist
133,Loan Promoter,Loan Specialist
134,Executive Assistant (part time),Raw
135,Senior Database Administrator,Raw
139,Country Director,Project Manager/ Assistant
141,Armenian Language & Cross-Cultural Facilitator (LCF) (short,Raw
142,Environmental Education (EE) Technical Coordinator (short,Technical Support
143,BECD Technical Coordinator (short tirm) - Pre-Service,Technical Support
144,Community Health Education (CHE) Technical Coordinator,Technical Support
145,TEFL Technical Coordinator (short tirm) - Pre-Service,Technical Support
146,Intern,Raw
147,SalesMan - Advisor,Raw
148,Sales Technical Adviser,Sales Manager
149,Sales Clerk/ Referent,Receptionist
151,Administrative Assistant,Assistant
153,Project Associate,Engineer
154,Chief of Party,Finance Specialist
155,Latin America Manager,Raw
157,Deputy Director,Director
158,Expatriate Microfinance Consultant,Consultant
160,Program Officer,Raw
162,Grants Manager,Project Manager/ Assistant
163,Project Assistant,Assistant
164,Finance Manager/Accountant,Finance Specialist
165,Artist - Designer,Architect
167,Interviewers for Market Research (6 positions) - Short term,Analyst
168,Information Education Communication (IEC) Assistant,Assistant
169,Refurbish center manager,Raw
170,Manager,Raw
173,Technical Security Engineer,Engineer
174,Translator (general),Translator
175,Secretary/ Referent,Translator
176,Administrative Officer,Raw
177,Translator (Telecommunications/ Regulatory/ IT),Translator
178,Junior Business Consultant,Consultant
179,Senior Software Developer (several positions),Software Developer
181,Secretary/ Referent,Translator
182,Merchandiser,Raw
183,Van-Salesman,Customs Specialist
185,Secretary / office helper,Raw
186,Van-Salesman,Customs Specialist
190,Salesmen/ Trade Agents,Sales Agent
191,Van Salesmen/Trade Agents,Sales Agent
192,Artist - Designer,Project Manager/ Assistant
194,Driver,Raw
195,Project Assistant,Project Manager/ Assistant
199,Web Developer/ Programmer,Web Developer/ Designer
201,Web Designer,Web Developer/ Designer
203,Computer Graphic Designer,Graphic Designer
204,Accountant,Raw
205,Sales Clerk / Referent,Receptionist
206,Merchandiser/ Trade Agent/ Marketing Manager,Marketing Specialist
207,Administrative Assistant,Raw
208,Receptionist,Receptionist
211,IREX/IATP Trainer,Training Specialist
212,Archhitect Designer,Architect
213,Private Teacher,Raw
214,Program Coordinator,Project Manager/ Assistant
215,"Guard, FSN-3; FP-BB*",Medical Representative
217,Puppet Director,Raw
220,Accountant,Raw
222,Health Coordinator,Health Manager
225,Senior Protection Clerk,Raw
227,Quality Assurance Group Manager,Engineer
229,Quality Assurance Senior Engineer,Engineer
230,Quality Assurance Engineer,Engineer
231,Quality Assurance Junior Engineer,Engineer
232,Data Base Software Junior Engineer,Engineer
233,Physical Design Software Engineer,Architect
234,Financial Analyst,Finance Specialist
235,Lawyer,Raw
236,Field Accounting Manager,Raw
238,Global Advocacy Director,Raw
241,Sales & Marketing Specialist,Marketing Specialist
242,Cheif Accountant,Accountant
243,Local Information Officer,Information Officer
244,Assistant to Information Point Coordinator in Armenia,Assistant
247,Senior Democratization Assistant,Assistant
248,"Visa Assistant, FSN-7; FP-07*",Assistant
251,Project Assistant,Project Manager/ Assistant
252,Senior Java Developers,Java Developer
254,ICT Specialist,Finance Specialist
256,Marketing Officer,Raw
257,Policy Officer,Raw
260,Driver,Receptionist
261,Processing Manager,Engineer
263,Principal Assistant to the Head of Office,Raw
264,Junior Internal Auditor,Auditor
265,Credit Officer,Credit Officer
266,Secretary/Chancellery Clerk,Receptionist
267,Accountant/Financial Analyst,Analyst
268,Local Conflict Management consultant,Consultant
269,ASTP Project Specialist,Raw
271,Sales representative,Brand Manager
272,Foreign National Student Intern,Raw
273,Deputy Chief of Party/Targeted Media Loan Division,Media Specialist
274,Foreign National Student Intern,Assistant
278,Senior Expert  Economic Development Programs,Raw
279,Alumni Coordinator,Raw
286,Head of Corporate Customers Department,Department Head
287,Microlending Unit Manager,Teller
288,Unit Lawyer/Administrator,Teller
289,Credit Methodology Expert,Credit Officer
290,Microloan Officer,Raw
291,Project Manager,Project Manager/ Assistant
292,Administrative Assistant/Receptionist,Finance Specialist
293,"Country Coordinators Russia, Azerbaijan, Armenia",Raw
297,Research Analyst,Analyst
298,Procurement Specialist,Raw
299,"Escort; FP-BB*, FSN-3",Finance Specialist
300,CEDC Psychologist in Special Institution,Raw
301,Child Protection Programs Technical/Logistics Assistant,Raw
302,CEDC Social Worker in Special Institution,Social Worker
303,Software Developer,Software Developer
304,Quality Assuarance Manager,Engineer
305,Junior Prfessional Associate,Raw
306,Sisian ADP Manager,Raw
308,Vacancy Notice,Project Manager/ Assistant
309,Program Officer,Project Manager/ Assistant
310,Para-professional (Teacher's Aide),Raw
311,Human Resource Department Manager,Raw
313,Administrative Intern,Raw
314,Health Manager,Health Manager
315,Global Fund PRIU Team Leader,Software Developer
319,Designers,Software Developer
320,Training Manager,Training Specialist
322,IATP Mobile trainer,Raw
323,"System Administrator, Microsoft Web Developer, Microsoft Office",C/ C++ Developer
324,Project Coordinator,Project Manager/ Assistant
326,Rural Microlending Expert in Georgia,Translator
327,Finance Manager,Finance Specialist
341,"Program Director/Chief of Party, Business & Economics Program,",Project Manager/ Assistant
342,Program Officer,Project Manager/ Assistant
343,US Program Coordinator for School Connectivity Programs,Project Manager/ Assistant
344,Health Manager (Re-advertisement),Raw
347,Executive Secretary,Director
348,Business Trainers,Training Specialist
351,Finance Officer/Accountant,Finance Specialist
352,Manager,Translator
356,Program Coordinator,Information Officer
357,"Project Manager, Sustainable Livelihoods Program",Social Worker
359,Java/C++ Programmer,Software Developer
360,Family Physician/General Practitioner in the 5-year Mobile,Raw
363,Web Design Trainer,Web Developer/ Designer
368,Program Experts,Raw
369,Secretary,Raw
371,Web-Site Developer,Raw
374,WEb Designer,Software Developer
375,Secretary,Finance Specialist
376,PR Specialist for EIA Watchdog Project,Project Manager/ Assistant
378,Pedagogical Adviser,Software Developer
379,Administrative assistant,Assistant
381,Youth Facility Educator,Raw
383,Web Programmer & Designer,Web Developer/ Designer
389,Elementary Teacher,Translator
391,Database Architect,Software Developer
392,Advanced Java Developer,Engineer
393,System Architect,Project Manager/ Assistant
394,Project Manager,Project Manager/ Assistant
395,Project Engineer,Engineer
397,PR Specialist,PR Specialist
398,Computer Skills Trainer,Raw
400,Rural & Environment Operations Officer,Health Manager
404,Country Coordinator - Armenia,Social Worker
406,Program Assistant,Project Manager/ Assistant
413,Software developer,Software Developer
414,Website Moderator,Raw
417,Internet Access and Training Program Spitak Site Trainer,Training Specialist
419,Administrative & Program Volunteers,Raw
423,Java Programmer - Chief Programmer,Programmer
424,Logistics and Warehouse Coordinator,Raw
425,Municipal Services Engineer,Systems Administrator
426,Health Manager,Health Manager
427,Accountant,Accountant
428,Secretary/Administrative Assistant,Assistant
429,Suitably qualified professional firms or groups of individual,Training Specialist
433,Manager,Manager
434,PC Operator,Operations Manager
435,Chief Cook,Accountant
